ab_degree,re_degree
--N/A--,Other
B.Des,Bachelor of Design - B.Des.
B.Des.+M.Des. (Dual Degree),Dual Degree (B.Des. & M.Des.)
B.E.,Bachelor of Engineering - B.E.
B.S.+M.Sc.(Dual Degree),Dual Degree (B.Sc. & M.Sc.)
B.Sc,Bachelor of Science - B.Sc. / B.S.
B.Sc. Tech.,Bachelor of Science in Technology - B.Sc. Tech.
B.Tech.,Bachelor of Technology - B.Tech.
D.Sc.,Doctor of Science - Sc.D. / D.Sc. / S.D. / D.S.
DIIT,Post Graduate Diploma of IIT - P.G.D.I.I.T.
Dual Degree,Dual Degree
E.M.B.A,Executive Master of Business Administration - E.M.B.A.
EMBA,Executive Master of Business Administration - E.M.B.A.
IDDDP,Interdisciplinary Dual Degree Programme - I.D.D.D.P.
M Mgmt,Master of Management - M.M. / M.Mgt. / M.Mgmt.
M.Des.,Master of Design - M.Des. / M.Design
M.E.,Master of Engineering - M.E. / Meng. / M.Eng.
M.Mgt,Master of Management - M.M. / M.Mgt. / M.Mgmt.
M.Phil,Master of Philosophy - M.Phil.
M.Phil. (Exit Degree),Master of Philosophy - M.Phil. (Exit Degree)
M.Phil. & Ph.D.,Dual Degree (M.Phil. & Ph.D.)
M.S.,Master of Science - M.Sc. / S.M.
M.S. (Exit Degree),Master of Science - M.Sc. by Research (Exit Degree)
M.Sc & Ph.D.,Dual Degree (M.Sc. & Ph.D.)
M.Sc.,Master of Science - M.Sc. / S.M.
M.Sc. (Exit Degree),Master of Science - M.Sc. by Research (Exit Degree)
M.Sc. & M.Tech. Dual Degree,Dual Degree (M.Sc. & M. Tech.)
M.Sc. & Ph.D. Dual Degree,Dual Degree (M.Sc. & Ph.D.)
M.Sc. + M.Phil.,Dual Degree (M.Sc. & M.Phil.)
M.Sc. 5Yr. (Integrated),Master of Science - Integrated M.Sc. (5 Yrs.)
M.Sc.(2 yrs),Master of Science - M.Sc. / S.M. (2 Yrs.)
M.Sc.(5 yrs),Master of Science - M.Sc. / S.M. (5 Yrs.)
"M.Tech, Ph.D.",Dual Degree (M.Tech. & Ph.D.)
M.Tech.,Master of Technology - M.Tech.
M.Tech. (Exit Degree),Master of Technology - M.Tech. (Exit Degree)
M.Tech. & Ph.D. Dual Degree,Dual Degree (M.Tech. & Ph.D.)
M.Tech.(5 yrs),Master of Technology - M.Tech. (5 Yrs.)
NA - Staff,Other
Other,Other
PGDIIT,Post Graduate Diploma of IIT - P.G.D.I.I.T.
PGDM,Post Graduate Diploma in Management - P.G.D.M.
Ph.D.,Doctor of Philosophy - Ph.D. / D.Phil.
M.Tech.(5 yrs),Master of Technology - Integrated M. Tech. (5 Yrs.)
M.Mgt,M. B.A.
M.S. (Exit Degree),Master of Science - M.Sc. (Exit Degree)
M.Tech.,Master of Technology - M.Tech. (2 Yrs.)
M.Tech.,Master of Technology (M.Tech.)
Dual Degree,Dual Degree (B.Tech. & M.Tech.)
B.Sc,Bachelor of Science - B.Sc. / B.S. (4 Yrs.)
PGDIIT,Post Graduate Diploma of IIT - P.G.D.I.I.T. (Exit Degree)
Dual Degree,Dual Degree (B. Tech. & M. Tech.)
M.Mgt,Master of Business Administration (M.B.A.)
M.Mgt,Master of Business Administration - M.B.A.
DIIT,D.I.I.T.
M.Tech.,Master of Technology - MTech
NA - Staff,NA - Staff
Dual Degree,Dual Degree (B. Tech. & M. Tech.) - Integrated
PGDIIT,Post Graduate Diploma
M.Sc. & M.Tech. Dual Degree,Dual Degree (M.Sc. & M.Tech.)
Other,Master of Urban Design & Engineering - M.U.D.E.
M.Mgt,Master of Management
M.Sc.,Master of Science
Other,Master of Public Policy - M.P.P.
IDDDP,Interdisciplinary DD Programme - IDDDP  (B.Tech. & M.Tech.)